Link,Source,Type,Summary,Title,Content,Date,Tags,Author,Category
https://www.coindesk.com/consensus-magazine/2024/05/14/irthu-suresh-using-blockchain-tech-to-reduce-water-shortages/,CoinDesk,article,null,Irthu Suresh: Using Blockchain Tech to Reduce Water Shortages,Much of the world takes water for granted. And much of the world has so little water that it’s a matter of life and death.,2024-05-14T21:45:22.165Z,Consensus 2024,Jeff  Wilser,Consensus Magazine
https://www.coindesk.com/opinion/2024/05/13/defi-gigabrain-tarun-chitra-on-eth-staking-restaking-and-why-financial-nihilism-is-a-real-consumer-product/,CoinDesk,article,null,DeFi Gigabrain Tarun Chitra on ETH Staking/ Restaking and Why ‘Financial Nihilism' Is a Real Consumer Product,Crypto is a world built for autodidacts/ a playground for polymaths. Tarun Chitra/ the founder of the risk management/ economic research and software optimization organization Gauntlet/ is just one shining example. In a conversation with Chitra/ this comes through. It seems there is no corner of crypto he hasn’t examined.,2024-05-13T16:41:43.691Z,Consensus 2024/ Gauntlet/ DeFi/ Ethereum,Daniel Kuhn,Opinion
https://www.coindesk.com/consensus-magazine/2023/12/04/sergey-nazarov-the-crypto-oracle/,CoinDesk,article,null,Sergey Nazarov: The Crypto Oracle,If digital assets are the future of finance and merging legacy financial systems with crypto is the key to this new system/ Sergey Nazarov – the co-founder of the decentralized oracle network Chainlink – is one of the driving forces behind this revolution.,2024-05-09T16:32:28.834Z,Features/ Most Influential 2023/ Chainlink/ Sergey Nazarov/ no-livewire/ Consensus 2024,Aoyon Ashraf,Consensus Magazine
https://www.coindesk.com/consensus-magazine/2023/12/04/ryan-selkis-messari-crypto-politics/,CoinDesk,article,null,Ryan Selkis Goes to Washington,In public/ Ryan Selkis is one of crypto's loudest gadflies/ regularly excoriating U.S. regulators for overreach/ especially Securities and Exchange Commission Chair Gary Gensler/ in social media tirades.,2024-05-09T16:37:23.088Z,Features/ Most Influential 2023/ Ryan Selkis/ no-livewire/ Consensus 2024,Marc Hochstein,Consensus Magazine
https://www.coindesk.com/markets/2024/05/16/first-mover-americas-bitcoin-tops-66k-as-interest-rate-cuts-loom/,CoinDesk,article,null,First Mover Americas: Bitcoin Tops $66K as Interest-Rate Cuts Loom,This article originally appeared in First Mover/ CoinDesk’s daily newsletter/ putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.,2024-05-16T12:01:00.713Z,Bitcoin/ Ether/ First Mover,Jamie Crawley and Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/16/ether-bitcoin-ratio-slides-to-lowest-since-april-2021-heres-why/,CoinDesk,article,null,Ether-Bitcoin Ratio Slides to Lowest Since April 2021. Here's Why,The ratio between ether (ETH) and bitcoin’s (BTC) dollar-denominated prices continues to slide/ extending year-to-date losses as suggested by the bearish death cross pattern a month ago.,2024-05-16T10:48:04.325Z,Ether/ Bitcoin/ Markets/ Trading,Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/16/bitcoin-has-best-day-in-2-months-as-markets-anticipate-a-summer-of-easing/,CoinDesk,article,null,Bitcoin Has Best Day in 2 Months as Markets Anticipate a ‘Summer of Easing',Bitcoin (BTC) posted its biggest single-day gain in nearly two months on Wednesday as weak U.S. economic data raised the probability that the Federal Reserve (Fed) will join its advanced nation peers in easing monetary policy with rate cuts over the summer months.,2024-05-16T06:08:34.987Z,Bitcoin/ Markets/ central banks,Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/15/bitcoin-hits-66k-as-soft-inflation-data-sparks-crypto-rally/,CoinDesk,article,null,Bitcoin Hits $66K as Soft Inflation Data Sparks Crypto Rally,Crypto markets rallied on Wednesday as softer-than-expected U.S. inflation data jolted digital assets from their stupor.,2024-05-15T22:00:39.016Z,Markets/ Market Wrap/ Bitcoin/ Inflation/ Swissblock technologies/ Bitfinex,Krisztian  Sandor,Markets
https://www.coindesk.com/policy/2024/05/15/sweeping-bitcoin-rights-bill-becomes-law-in-oklahoma/,CoinDesk,article,null,Sweeping ‘Bitcoin Rights’ Bill Becomes Law in Oklahoma,Oklahoma Governor Kevin Stitt signed a sweeping ‘Bitcoin Rights’ bill into law on Monday/ enshrining Oklahomans’ legal right to mine/ transact with/ and self-custody cryptocurrencies and boosting the state’s reputation for being a friendly destination for crypto companies and investors.,2024-05-15T19:41:26.754Z,Regulations/ Oklahoma/ state laws/ lobbying/ Bitcoin,Cheyenne Ligon,Policy
https://www.coindesk.com/tech/2024/05/09/protocol-village/,CoinDesk,article,null,Protocol Village: Cyber/ Formerly CyberConnect/ Unveils Social-Focused Layer 2 on OP Stack,May 15: Cyber/ the just-unveiled rebranding for the developer formerly known as CyberConnect/ has launched its own layer-2 network in the Ethereum blockchain ecosystem/ describing it as the "first L2 for social." According to the team/ the new chain relies on "top modular solutions. Cyber integrates Optimism’s OP Stack/ EigenDA and custom features to provide low fees/ high TPS and a user-friendly experience." According to a blog post: "AltLayer will manage the rollup’s technical launch/ ongoing management/ operations and future upgrades. With AltLayer’s help/ Cyber is one of the first OP Stack Chains with Plasma Mode deployed to mainnet. Plasma Mode enables OP Stack chains to leverage alternative data availability (DA) layers to Ethereum Mainnet/ significantly reducing their transaction costs while minimizing tradeoffs to security and decentralization.",2024-05-15T16:45:14.73Z,The Protocol/ Blockchain/ Ethereum/ Bitcoin/ Tech/ Blockchain Technology/ EVM/ Protocol Village,Bradley Keoun,Technology
https://www.coindesk.com/podcasts/markets-daily/crypto-update-is-crypto-becoming-a-mainstream-topic-in-us-elections/,CoinDesk,article,null,Crypto Update | Is Crypto Becoming a Mainstream Topic In US Elections?,,,,,
https://www.coindesk.com/opinion/2024/05/15/halving-impact-and-macro-shifts-create-tailwinds-for-bitcoin/,CoinDesk,article,null,Halving Impact and Macro Shifts Create Tailwinds for Bitcoin,The fourth Bitcoin halving in April reduced the new bitcoin issuance rate to 3.125 BTC every ten minutes/ sparking significant interest and speculation. Since then/ Bitcoin has been down from its highs/ with some investors concerned that the days of higher BTC prices are in the distant future.,2024-05-15T15:45:00.243Z,Opinion/ Crypto Long & Short/ Bitcoin/ Halving/ Institutional Adoption/ institutional investor/ Bitcoin Price,Paul Marino,Opinion
https://www.coindesk.com/opinion/2024/05/15/what-the-dojs-first-mev-lawsuit-means-for-ethereum/,CoinDesk,article,null,What the DOJ’s First MEV Lawsuit Means for Ethereum,The U.S. Department of Justice charged two brothers with orchestrating an attack on Ethereum trading bots/ charging them with conspiracy to commit wire fraud/ wire fraud and conspiracy to commit money laundering. In essence/ the brothers found a way to target bots that were frontrunning transactions in a process called maximal extractable value/ or MEV/ which refers to the amount of money that can be bled out of the block production process by ordering transactions.,2024-05-15T20:56:47.237Z,Opinion/ The Node/ Newsletters/ DOJ/ Ethereum/ MEV/ Flashbots,Daniel Kuhn,Opinion
https://www.coindesk.com/tech/2024/05/09/protocol-village/,CoinDesk,article,null,Protocol Village: Cyber/ Formerly CyberConnect/ Unveils Social-Focused Layer 2 on OP Stack,May 15: Cyber/ the just-unveiled rebranding for the developer formerly known as CyberConnect/ has launched its own layer-2 network in the Ethereum blockchain ecosystem/ describing it as the "first L2 for social." According to the team/ the new chain relies on "top modular solutions. Cyber integrates Optimism’s OP Stack/ EigenDA and custom features to provide low fees/ high TPS and a user-friendly experience." According to a blog post: "AltLayer will manage the rollup’s technical launch/ ongoing management/ operations and future upgrades. With AltLayer’s help/ Cyber is one of the first OP Stack Chains with Plasma Mode deployed to mainnet. Plasma Mode enables OP Stack chains to leverage alternative data availability (DA) layers to Ethereum Mainnet/ significantly reducing their transaction costs while minimizing tradeoffs to security and decentralization.",2024-05-15T16:45:14.73Z,The Protocol/ Blockchain/ Ethereum/ Bitcoin/ Tech/ Blockchain Technology/ EVM/ Protocol Village,Bradley Keoun,Technology
https://www.coindesk.com/podcasts/markets-daily/crypto-update-is-crypto-becoming-a-mainstream-topic-in-us-elections/,CoinDesk,article,null,Crypto Update | Is Crypto Becoming a Mainstream Topic In US Elections?,,,,,
https://www.coindesk.com/policy/2024/05/15/brothers-accused-of-25m-ethereum-exploit-as-us-reveals-fraud-charges/,CoinDesk,article,null,Brothers Accused of $25M Ethereum Exploit as U.S. Reveals Fraud Charges,Two brothers have been arrested by the U.S. Department of Justice for attacking the Ethereum blockchain and stealing $25 million of cryptocurrency during a 12-second exploit/ according to an indictment unsealed on Wednesday.,2024-05-15T17:19:40.57Z,MEV/ Exploit/ DOJ/ Ethereum,Sam Kessler and Nikhilesh De,Policy
https://www.coindesk.com/tech/2024/05/14/lido-co-founders-paradigm-secretly-back-eigenlayer-competitor-as-defi-battle-lines-form/,CoinDesk,article,null,Lido Co-Founders/ Paradigm Secretly Back EigenLayer Competitor as DeFi Battle Lines Form,The co-founders of Lido/ the biggest liquid staking protocol on Ethereum/ are secretly funding a competitor to EigenLayer/ the buzzy "restaking" service that has emerged rapidly this year to become a powerful force in decentralized finance.,2024-05-15T17:14:11.542Z,Restaking/ EigenLayer/ Lido/ Staking/ Ethereum/ Paradigm/ Exclusive ,Sam Kessler,Technology
https://www.coindesk.com/opinion/2024/05/13/defi-gigabrain-tarun-chitra-on-eth-staking-restaking-and-why-financial-nihilism-is-a-real-consumer-product/,CoinDesk,article,null,DeFi Gigabrain Tarun Chitra on ETH Staking/ Restaking and Why ‘Financial Nihilism' Is a Real Consumer Product,Crypto is a world built for autodidacts/ a playground for polymaths. Tarun Chitra/ the founder of the risk management/ economic research and software optimization organization Gauntlet/ is just one shining example. In a conversation with Chitra/ this comes through. It seems there is no corner of crypto he hasn’t examined.,2024-05-13T16:41:43.691Z,Consensus 2024/ Gauntlet/ DeFi/ Ethereum,Daniel Kuhn,Opinion
https://www.coindesk.com/podcasts/the-protocol/blockchain-fundraisings-new-frontier-of-node-sales/,CoinDesk,article,null,Blockchain Fundraising's New Frontier of Node Sales,,,,,
https://www.coindesk.com/podcasts/markets-daily/coindesk-markets-week-in-review-9/,CoinDesk,article,null,CoinDesk Markets Week in Review,,,,,
https://www.coindesk.com/markets/2024/05/16/ether-bitcoin-ratio-slides-to-lowest-since-april-2021-heres-why/,CoinDesk,article,null,Ether-Bitcoin Ratio Slides to Lowest Since April 2021. Here's Why,The ratio between ether (ETH) and bitcoin’s (BTC) dollar-denominated prices continues to slide/ extending year-to-date losses as suggested by the bearish death cross pattern a month ago.,2024-05-16T10:48:04.325Z,Ether/ Bitcoin/ Markets/ Trading,Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/16/bitcoin-traders-expect-prices-to-hit-74k-highs-as-selling-pressure-eases/,CoinDesk,article,null,Bitcoin Traders Expect Prices to Hit $74K Highs as Selling Pressure Eases,Bullish sentiment for riskier assets following soft inflation figures could propel bitcoin (BTC) prices toward the $74/000 mark in the coming days as institutional demand continues to grow/ Singapore-based QCP Capital said in a note early Thursday.,2024-05-16T09:25:20.655Z,Trading/ Investing/ Markets,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/05/16/shib-to-get-more-scarce-as-key-exchange-expands-to-shibarium/,CoinDesk,article,null,SHIB to Get More Scarce as Key Exchange Expands to Shibarium,ShibaSwap/ the decentralized exchange (DEX) associated with the Shiba Inu (SHIB) cryptocurrency/ said Thursday it was live on the Shibarium blockchain/ an Ethereum layer 2 built by the SHIB token team.,2024-05-16T08:46:31.277Z,Shiba Inu/ Trading/ dexs,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/05/16/cme-looks-to-take-on-binance-and-coinbase-could-launch-spot-bitcoin-trading-report/,CoinDesk,article,null,CME Looks to Take On Binance and Coinbase/ Could Launch Spot Bitcoin Trading: Report,Futures powerhouse Chicago Mercantile Exchange (CME) plans to offer spot bitcoin trading to clients as demand for the product mounts among market participants/ the Financial Times reported on Thursday.,2024-05-16T08:20:03.675Z,Trading/ Investing/ Markets/ CME/ Binance/ Coinbase,Shaurya Malwa and Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/14/gamestop-rally-sends-meme-coins-skywards-pepe-floki-mog-surge/,CoinDesk,article,null,GameStop Rally Sends Meme Coins Skywards; PEPE/ FLOKI/ MOG Surge,Top meme coins climbed higher Tuesday after a viral post by retail trader Keith Gill/ whose cult following contributed to the GameStop short squeeze of 2021/ sent some stocks and tokens flying at the start of the week.,2024-05-14T19:10:31.974Z,meme coin/ Trading/ Markets,Shaurya Malwa,Markets
https://www.coindesk.com/tech/2024/05/14/bitcoin-runes-protocol-sees-traction-waning-after-much-hyped-introduction/,CoinDesk,article,null,Bitcoin Runes Protocol Sees Traction Waning After Much-Hyped Introduction,Activity on the Bitcoin Runes protocol has slowed over the past week/ a sign it has failed to generate meaningful traction among users despite a stellar start last month.,2024-05-14T13:09:53.184Z,Bitcoin/ Trading/ Markets/ Runes,Shaurya Malwa,News Analysis
https://www.coindesk.com/markets/2024/05/13/solana-memes-gamestop-stock-jumps-44-in-premarket-as-roaring-kitty-returns-on-x/,CoinDesk,article,null,Solana Meme Coins/ GameStop Stock Rocket as 'Roaring Kitty' Returns on X,A single picture on Monday sparked rallies across some cat-themed meme coins and Gamestop stock (NYSE: GME) as market cults heralded the apparent return of TheRoaringKitty/ the X profile of retail trader Keith Gill/ who made his first post since late 2021.,2024-05-13T14:58:32.963Z,Trading/ Investing/ Markets,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/05/13/bitcoin-below-60k-could-trigger-panic-selling-crypto-analyst-says/,CoinDesk,article,null,Bitcoin Below $60K Could Trigger 'Panic' Selling/ Crypto Analyst Says,Bitcoin (BTC) could see a panic sell-off if it closes under the $60/000 level in the coming days/ according to FxPro trader Alex Kuptsikevich. Crypto traders are targeting a break above $65/000 before sentiment can be deemed bullish.,2024-05-13T10:52:44.635Z,Trading/ Markets/ Bitcoin,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/05/16/bitcoin-traders-expect-prices-to-hit-74k-highs-as-selling-pressure-eases/,CoinDesk,article,null,Bitcoin Traders Expect Prices to Hit $74K Highs as Selling Pressure Eases,Bullish sentiment for riskier assets following soft inflation figures could propel bitcoin (BTC) prices toward the $74/000 mark in the coming days as institutional demand continues to grow/ Singapore-based QCP Capital said in a note early Thursday.,2024-05-16T09:25:20.655Z,Trading/ Investing/ Markets,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/05/16/cme-looks-to-take-on-binance-and-coinbase-could-launch-spot-bitcoin-trading-report/,CoinDesk,article,null,CME Looks to Take On Binance and Coinbase/ Could Launch Spot Bitcoin Trading: Report,Futures powerhouse Chicago Mercantile Exchange (CME) plans to offer spot bitcoin trading to clients as demand for the product mounts among market participants/ the Financial Times reported on Thursday.,2024-05-16T08:20:03.675Z,Trading/ Investing/ Markets/ CME/ Binance/ Coinbase,Shaurya Malwa and Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/13/solana-memes-gamestop-stock-jumps-44-in-premarket-as-roaring-kitty-returns-on-x/,CoinDesk,article,null,Solana Meme Coins/ GameStop Stock Rocket as 'Roaring Kitty' Returns on X,A single picture on Monday sparked rallies across some cat-themed meme coins and Gamestop stock (NYSE: GME) as market cults heralded the apparent return of TheRoaringKitty/ the X profile of retail trader Keith Gill/ who made his first post since late 2021.,2024-05-13T14:58:32.963Z,Trading/ Investing/ Markets,Shaurya Malwa,Markets
https://www.coindesk.com/consensus-magazine/2024/04/15/bitcoin-first-not-only-fostering-widespread-adoption-through-education/,CoinDesk,article,null,Bitcoin First/ Not Only: Fostering Widespread Adoption Through Education,As bitcoin (BTC) continues to gain traction worldwide/ the approach to introducing it to newcomers plays a crucial role in its widespread adoption. While some advocates firmly believe in a "Bitcoin only" narrative/ this aggressive stance can often hinder the conversation and deter potential adopters.,2024-04-15T13:57:05.883Z,Opinion/ Bitcoin/ Markets/ Investing/ Altcoins,Burak Tamac,Consensus Magazine
https://www.coindesk.com/markets/2024/04/15/meme-coin-ai-tokens-lead-gains-after-bitcoin-drop-causes-2b-in-weekend-liquidations/,CoinDesk,article,null,Meme-Coin/ AI Tokens Lead Gains After Bitcoin Drop Causes $2B in Weekend Liquidations,Meme coins and artificial intelligence (AI)-linked tokens led gains in the past 24 hours as bitcoin and other major tokens started to reverse weekend losses.,2024-04-15T19:29:47.581Z,Bitcoin/ Trading/ Investing,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/04/11/bitcoin-ecosystem-tokens-rune-stx-and-ordi-may-see-gains-after-halving/,CoinDesk,article,null,Bitcoin Ecosystem Tokens/ RUNE/ STX/ and ORDI May See Gains After Halving,Bitcoin’s (BTC) much anticipated halving event later this month could see a flurry of bets on related networks and ecosystem tokens/ with traders expecting upside on both technical and meme coin projects.,2024-04-11T08:45:39.272Z,Bitcoin/ Trading/ Investing/ Ordinals/ Halving,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/04/10/friendtech-money-metrics-surge-ahead-of-potential-airdrop-v2-release/,CoinDesk,article,null,Friend.Tech Money Metrics Surge Ahead of Potential Airdrop/ V2 Release,Money is flowing back into social application Friend.Tech as a new version teases an eventual airdrop/ bringing users back to what was among the biggest revenue-generating platforms during the bear market.,2024-04-10T20:06:23.522Z,Trading/ Investing/ Markets/ Social Media,Shaurya Malwa,Markets
https://www.coindesk.com/markets/2024/04/04/bitcoin-cash-spikes-10-after-halving-bitcoin-hovers-above-66k/,CoinDesk,article,null,Bitcoin Cash Spikes 10% After Halving/ Bitcoin Hovers Above $66K,Bitcoin Cash (BCH) surged 10% after completing its reward halving event/ becoming one of the few gainers in an otherwise tepid market as bitcoin (BTC) – whose own halving occurs later this month – remained little changed over 24 hours.,2024-04-04T11:56:09.136Z,Bitcoin/ Trading/ Investing/ Bitcoin Cash,Shaurya Malwa,Markets
https://www.coindesk.com/learn/why-william-hinmans-emails-matter-to-the-xrp-army-and-the-cryptos-price/,CoinDesk,article,null,Why William Hinman`s Emails Matter to the XRP Army and the Crypto’s Price,On June 13/ 2023/ documents tied to William Hinman/ the former director of the U.S. Securities and Exchange Commission (SEC)’s Division of Corporation Finance from 2017 to 2020/ were released to the public in connection with the SEC's lawsuit against Ripple/ briefly sending the price of the XRP token up 7.4% as optimism spread that Ripple would win their ongoing case.,2024-03-08T16:59:09.965Z,Ripple/ XRP/ industry/ Beginner/ Learn/ SEC/ Ethereum,David Z. Morris,Learn
https://www.coindesk.com/learn/binance-crypto-exchange-your-questions-answered/,CoinDesk,article,null,Binance Crypto Exchange: Your Questions Answered,Founded in 2017 by Changpeng Zhao/ who is often referred to as just “CZ/” Binance is the world's leading cryptocurrency exchange by trading volume as of June 2023. The company was originally based in China but had to leave Shanghai due to regulatory restrictions shortly after its launch.,2023-09-29T12:03:59.115Z,Learn/ industry/ Beginner/ Binance/ Binance US/ Exchanges,Toby Bochan,Learn
https://www.coindesk.com/business/2023/05/09/crypto-options-liquidity-provider-orbit-markets-offers-bitcoin-and-gold-hybrid-derivative/,CoinDesk,article,null,Crypto Options Liquidity Provider OrBit Markets Offers Bitcoin and Gold-Hybrid Derivative,Orbit Markets/ an institutional liquidity provider of crypto options/ is rolling out the first bitcoin and gold hybrid-focused derivative product with execution broker PI Digital.,2023-05-09T08:24:05.349Z,Bitcoin/ Gold/ Derivatives/ Macroeconomic condition/ Investing/ industry,Jocelyn Yang,Finance
https://www.coindesk.com/podcasts/markets-daily/crypto-update-why-crypto-is-not-an-industry/,CoinDesk,article,null,Crypto Update | Why Crypto Is Not an 'Industry',,,,,
https://www.coindesk.com/learn/what-is-web5-and-how-is-it-different-from-web3/,CoinDesk,article,null,What Is 'Web5' and How Is it Different From Web3?,The world is still getting its collective head around Web3 – a suite of decentralized protocols that add a (disputably) censorship-resistant financial layer to the internet. So why did Jack Dorsey/ the creator of Web2 platform Twitter/ skip right ahead to what he calls "Web5"?,2022-12-20T20:51:56.903Z,Learn/ industry/ Beginner/ Web3/ Web5,Robert Stevens,Learn
https://www.coindesk.com/learn/what-is-desk-coindesks-social-token-explained/,CoinDesk,article,null,What Is DESK? CoinDesk’s Social Token/ Explained,At CoinDesk/ we’re not just chronicling the business model transformation that digital assets and the blockchain have made possible – we’re actively participating in it.,2023-03-16T17:39:40.561Z,Token Economy/ Rewards/ DESK/ Learn/ industry/ Beginner,CoinDesk Staff,Learn
https://www.coindesk.com/learn/blockfis-rise-and-fall-a-timeline/,CoinDesk,article,null,BlockFi’s Rise and Fall: A Timeline,Crypto lender BlockFi is kaput. The platform/ which offered high yields on crypto deposits/ has filed for bankruptcy protection. It’s the latest company to fall after the catastrophic collapse of FTX. Indeed/ bankruptcy filings show that BlockFi had $355 million worth of cryptocurrencies frozen in FTX and relied on the firm for its credit facility. But how did it all go so wrong? CoinDesk has compiled a timeline to help you piece together the picture.,2022-11-30T21:43:43.327Z,industry/ Beginner/ Learn/ BlockFi/ Bankruptcy/ FTX Collapse,Robert Stevens,Learn
https://www.coindesk.com/learn/what-are-fully-backed-reserves/,CoinDesk,article,null,What Are 'Fully Backed' Reserves?,Regular banks do not actually hold all of your money. They lend out most of your deposits in an attempt to eke out returns from financial markets. This works/ for the most part/ because the bank insures deposits with the federal government and because the bank widely diversifies its exposure to risk to ensure that it won’t be caught short in the event of a financial crash.,2024-04-10T03:18:42.467Z,Learn/ industry/ Beginner,Robert Stevens,Learn
https://www.coindesk.com/markets/2024/05/16/first-mover-americas-bitcoin-tops-66k-as-interest-rate-cuts-loom/,CoinDesk,article,null,First Mover Americas: Bitcoin Tops $66K as Interest-Rate Cuts Loom,This article originally appeared in First Mover/ CoinDesk’s daily newsletter/ putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.,2024-05-16T12:01:00.713Z,Bitcoin/ Ether/ First Mover,Jamie Crawley and Omkar Godbole,Markets
https://www.coindesk.com/markets/2024/05/16/ether-bitcoin-ratio-slides-to-lowest-since-april-2021-heres-why/,CoinDesk,article,null,Ether-Bitcoin Ratio Slides to Lowest Since April 2021. Here's Why,The ratio between ether (ETH) and bitcoin’s (BTC) dollar-denominated prices continues to slide/ extending year-to-date losses as suggested by the bearish death cross pattern a month ago.,2024-05-16T10:48:04.325Z,Ether/ Bitcoin/ Markets/ Trading,Omkar Godbole,Markets
